Sample	Class	Domain	Family	Genus	Order	Phylum	Species
C1	0.1318391562294	0.1977587343441	2.5708635464733	7.51483190507581	2.3071852340145	0.2636783124588	87.0138431114041
C2	3.3271144278607	0.342039800995025	6.96517412935323	5.81467661691542	3.82462686567164	0.0932835820895522	79.6330845771144
C3	2.45901639344262	0.211528291909043	6.31940772078265	8.11739820200952	4.54785827604442	0.105764145954521	78.2390269698572
C4	1.43385753931545	0.277520814061055	2.91396854764107	8.37187789084181	2.45143385753932	0.138760407030527	84.4125809435708
C5	0.745033112582781	0.0827814569536424	3.26986754966887	6.62251655629139	1.40728476821192	0	87.8725165562914
C6	0.770038501925096	0.105005250262513	3.67518375918796	9.76548827441372	3.43017150857543	0.140007000350018	82.1141057052853
C7	0.311675857108607	0.143850395588588	2.85303284584033	8.77487413090386	2.15775593382882	0.0959002637257252	85.6629105730041
DC2	0.394964206368798	0.172796840286349	2.44384102690694	10.910886200938	3.01160207356208	0.271537891878549	82.7943717600592
DC3	2.00534759358289	0.133689839572192	6.41711229946524	8.42245989304813	4.54545454545455	0.133689839572192	78.3422459893048
DC4	0.683060109289617	0	6.14754098360656	8.60655737704918	3.55191256830601	0	81.0109289617486
NewC1	0.0276482406502866	0.0405507529537537	0.70226531251728	5.27712753211804	0.305973863196505	0.0442371850404586	93.6021971135237
NewC2	0.0101652875759855	0.0365950352735479	2.16114013865452	4.25112326427715	0.420842905645801	0.0304958627279566	93.089637505845
NewC3	0.0166285595510289	0.037414258989815	2.38411972562877	5.88235294117647	0.525878195801289	0.0311785491581792	91.1224277696945
NewC4	0.0188504967105883	0.033930894079059	1.56459122697883	4.94448528718732	0.574940149672944	0.0659767384870591	92.7972252068842
NewC5	0.0155222258871922	0.0368652864820815	1.03804885620598	4.21234405013679	0.227012553600186	0.0310444517743844	94.4391625759134
NewC6	0.0200256328099968	0.0520666453059917	1.68415571932073	6.21595642422301	0.510653636654918	0.0340435757769946	91.4830983659084
NewDC2	0.0130086941439195	0.0455304295037183	1.27051579472281	4.06955315135616	0.398933287080199	0.0672115864102509	94.1352470567829
NewDC3	0.0287858538089853	0.0390665158836229	2.02117816387375	4.16778040505809	0.565436414105068	0.0267297213940578	93.1510229258764
NewDC4	0.0186008060349282	0.031001343391547	2.32716751059213	5.09455409734422	0.584892011987186	0.0186008060349282	91.9251834246151
