name	side	R1_mean	R1_sd	R2_mean	R2_sd	pairs
T0K08	1	7	0	324.6606923643506	1.8784472283170848	pair1
T0K08	2	257	0	1401	0	pair2
T1A01	1	7	0	320.5863235595653	8.198087266963702	pair1
T1A01	2	245.74165309446255	9.63176391226789	561	0	pair2
T1A02	1	7	0	321.69760755724405	7.450297102174374	pair1
T1A02	2	218.21083578328432	5.560362882264056	561	0	pair2
T1A03	1	7	0	323.0946190729888	6.457002337312297	pair1
T1A03	2	241.46980489315578	4.586999624094166	561	0	pair2
T1A04	1	7	0	321.9875994626434	8.105791517935566	pair1
T1A04	2	237.7168925264994	1.5065897134040354	561	0	pair2
T1A05	1	7	0	320.9091289344348	6.578870306991353	pair1
T1A05	2	246.43486276116346	8.286924035979256	561	0	pair2
T1A06	1	7	0	321.20768431983385	7.0412979312248165	pair1
T1A06	2	33.17777311365306	9.48306442830881	561	0	pair2
T1A07	1	7	0	324.20637487007735	3.052520328230213	pair1
T1A07	2	257.09182407279746	0.5657104304884152	561	0	pair2
T1A08	1	7	0	320.85122938064114	7.300253294703063	pair1
T1A08	2	176.09322377764252	107.04697007437872	561	0	pair2
T1B01	1	7	0	322.6248178221945	6.43708868328046	pair1
T1B01	2	1	0	561	0	pair2
T1B02	1	7	0	322.9437422295897	5.977182219691556	pair1
T1B02	2	243.01201295309724	5.574024311361736	1401	0	pair2
T1B03	1	7	0	322.6130497625439	6.382585614262308	pair1
T1B03	2	240.27448326771653	2.8523535434821943	561	0	pair2
T1B04	1	7	0	321.4568296970324	7.750209166864202	pair1
T1B04	2	246.56775772407465	6.632055888348275	561	0	pair2
T1B05	1	7	0	324.29493746277547	2.8001441222432333	pair1
T1B05	2	257.03706788837985	0.47326509398131367	561	0	pair2
T1B06	1	7	0	323.1310745000518	6.028234008384028	pair1
T1B06	2	192.6705418520016	46.7662130953633	561	0	pair2
T1B07	1	7	0	322.73136645962734	5.870887956020405	pair1
T1B07	2	241.8416735028712	4.5685959445509114	561	0	pair2
T1B08	1	7	0	322.60656078064983	5.95793380494561	pair1
T1B08	2	243.61797752808988	4.989232120636324	1401	0	pair2
T1C01	1	7	0	323.4594090202177	5.975924310404948	pair1
T1C01	2	244.89106287577704	8.074135110823438	561	0	pair2
T1C02	1	7	0	321.29487445528116	7.537116946589419	pair1
T1C02	2	222.200021765154	7.6351582918398275	1401	0	pair2
T1C03	1	7	0	320.61624072547403	7.214623809209057	pair1
T1C03	2	203.7782851344495	48.2727861090631	561	0	pair2
T1C04	1	7	0	321.9625038735668	6.917947291047037	pair1
T1C04	2	244.3821941529999	9.187133598180084	561	0	pair2
T1C05	1	7	0	321.55224498241256	6.33369458908786	pair1
T1C05	2	113.50888234696986	108.83478279702962	1401	0	pair2
T1C06	1	7	0	321.61145690473677	6.345789443158747	pair1
T1C06	2	240.94337128914194	21.697774943517775	1401	0	pair2
T1C07	1	7	0	320.92784679089027	7.999409267539336	pair1
T1C07	2	249.51993457370682	9.50522008960647	561	0	pair2
T1C08	1	7	0	322.870991028153	6.78482042039333	pair1
T1C08	2	180.14622019279554	71.17214307108114	561	0	pair2
T1D01	1	7	0	321.6280922431866	6.984823763151657	pair1
T1D01	2	245.0281819106725	9.06301815556999	561	0	pair2
T1D02	1	7	0	321.83529041727826	6.257554865570233	pair1
T1D02	2	248.90771419859743	9.616451207023783	561	0	pair2
T1D03	1	7	0	323.30555555555554	5.860938502953551	pair1
T1D03	2	37.90001076310408	4.369826450516589	561	0	pair2
T1D04	1	7	0	321.97103405315613	6.697003163017683	pair1
T1D04	2	242.81134810519777	4.274982627754868	561	0	pair2
T1D05	1	7	0	324.4126893723659	3.0202820587283608	pair1
T1D05	2	257.069089456869	0.5871230108652669	561	0	pair2
T1D06	1	7	0	322.1526288391463	7.0049533712081224	pair1
T1D06	2	36.856013620333215	4.091145937543191	561	0	pair2
T1D07	1	7	0	321.46849541095185	6.843553383389973	pair1
T1D07	2	246.24678001030398	0.5062944786781903	561	0	pair2
T1D08	1	7	0	321.68784329982384	7.37759275066601	pair1
T1D08	2	220.00763825236785	29.807412025967444	561	0	pair2
T1E01	1	7	0	322.43961352657004	7.06100628232577	pair1
T1E01	2	123.46167106063679	116.83640990726455	561	0	pair2
T1E02	1	7	0	324.0102931304542	4.233413725134205	pair1
T1E02	2	247.00619540930327	7.254221531175169	561	0	pair2
T1E03	1	7	0	323.94866298093194	3.8799061901378975	pair1
T1E03	2	220.4454634785457	4.640663968310557	561	0	pair2
T1E04	1	7	0	323.992673992674	3.7077027928881208	pair1
T1E04	2	156.61188959660296	6.377639270059597	1401	0	pair2
T1E05	1	7	0	324.0558098002009	3.82337926035445	pair1
T1E05	2	224.22725321888413	7.107702987007742	561	0	pair2
T1E06	1	7	0	322.50800164136234	5.911737319260332	pair1
T1E06	2	238.99552527204312	20.89308335235046	561	0	pair2
T1E07	1	7	0	321.54362690070417	7.269048007861477	pair1
T1E07	2	235.17152136405156	20.854332402471588	561	0	pair2
T1E08	1	7	0	319.73296781399125	8.922389128310078	pair1
T1E08	2	260.0355893849002	4.177174863939508	561	0	pair2
T1F01	1	7	0	321.145625	6.947861549232457	pair1
T1F01	2	245.6792414355628	5.9599363753716945	561	0	pair2
T1F02	1	7	0	324.55361960431657	3.819720779001792	pair1
T1F02	2	248.6595809601302	7.2335075249264875	561	0	pair2
T1F03	1	7	0	322.5016373311502	7.008445376932263	pair1
T1F03	2	246.74732224829134	9.584582585751717	561	0	pair2
T1F04	1	7	0	323.991951938336	3.7171937800463613	pair1
T1F04	2	163.28923123395256	0.7074401949658331	561	0	pair2
T1F05	1	7	0	322.7161757105943	6.6777366283261586	pair1
T1F05	2	1	0	1401	0	pair2
T1F06	1	7	0	322.155744504355	6.298529905846914	pair1
T1F06	2	196.28304378746319	74.22925477039597	561	0	pair2
T1F07	1	7	0	324.38326693227094	3.080000048772336	pair1
T1F07	2	251	0	561	0	pair2
T1F08	1	7	0	323.28431876606686	6.610598008315337	pair1
T1F08	2	239.14206560283688	2.844600374539532	561	0	pair2
T1G01	1	7	0	323.6643704959729	5.0342553266896095	pair1
T1G01	2	243.52242961740745	6.113993542165724	561	0	pair2
T1G02	1	7	0	322.7247097844113	6.643234330536241	pair1
T1G02	2	31.79090812307037	4.310501611562465	561	0	pair2
T1G03	1	7	0	324.5399449035813	3.4943597102457664	pair1
T1G03	2	256.80546030071224	2.373568728985724	561	0	pair2
T1G04	1	7	0	321.8891306600352	7.2054194471920106	pair1
T1G04	2	247.23291293734744	9.06062173229393	561	0	pair2
T1G05	1	7	0	324.38767169939837	4.648780532460329	pair1
T1G05	2	251.35097181235372	9.366415932850282	561	0	pair2
T1G06	1	7	0	322.11177934467025	6.174444811504664	pair1
T1G06	2	163.55128205128204	109.5278371947994	561	0	pair2
T1G07	1	7	0	323.9212441314554	3.745328581747836	pair1
T1G07	2	248.95744680851064	4.109975309412279	561	0	pair2
T1G08	1	7	0	324.39587791417955	3.92101404070659	pair1
T1G08	2	178.25967807660962	104.85708736327263	561	0	pair2
T1H01	1	7	0	325.1200140778977	2.822202614221509	pair1
T1H01	2	257.01428571428573	0.4466975594421545	561	0	pair2
T1H02	1	7	0	324.0963506898086	3.3574643817850953	pair1
T1H02	2	257.04072077185015	0.3788267943258387	561	0	pair2
T1H03	1	7	0	326.69903393609115	2.0204164310298416	pair1
T1H03	2	161	0	561	0	pair2
T1H04	1	7	0	325.08133174791914	2.694373154949392	pair1
T1H04	2	257.0142677297524	0.4627332805354686	561	0	pair2
T1H05	1	7	0	321.31567010309277	6.83374071655368	pair1
T1H05	2	246.51579054604727	9.585699743823765	561	0	pair2
T1H06	1	7	0	322.85752996352267	6.5068896270274355	pair1
T1H06	2	250.24933333333334	9.658635885602582	561	0	pair2
T1H07	1	7	0	324.2175816773324	4.327647666599214	pair1
T1H07	2	244.29637012169533	6.980823850157214	561	0	pair2
T1H08	1	7	0	322.38665419395073	6.266862047044305	pair1
T1H08	2	203.2936750050844	72.24326106359364	561	0	pair2
T1I01	1	7	0	324.6157066734331	2.006807837073811	pair1
T1I01	2	246	0	1401	0	pair2
T1I02	1	7	0	322.507984238905	6.324230535076236	pair1
T1I02	2	248.7231707317073	8.420375620440272	561	0	pair2
T1I03	1	7	0	324.38879339979377	3.048087063406093	pair1
T1I03	2	257.0235667034179	0.5233315971157323	561	0	pair2
T1I04	1	7	0	322.7015987622486	6.802056489018627	pair1
T1I04	2	32.70063477669463	4.3278830962102175	561	0	pair2
T1I05	1	7	0	322.72378411656064	6.731289190444555	pair1
T1I05	2	1	0	291	0	pair2
T1I06	1	7	0	322.8731350962033	6.18859275950805	pair1
T1I06	2	136.62844196584174	3.75993157554708	561	0	pair2
T1I07	1	7	0	321.93788627935726	7.427500939736874	pair1
T1I07	2	110.46704265068735	4.021366340686557	561	0	pair2
T1I08	1	7	0	321.6214537171257	7.664687905897621	pair1
T1I08	2	246.90709545686576	8.932457380850206	561	0	pair2
T1K01	1	7	0	323.3985552763819	4.593423486010368	pair1
T1K01	2	247.8190059075168	8.039954302271093	561	0	pair2
T1K02	1	7	0	321.921398283173	7.181726042004744	pair1
T1K02	2	221.90252121817275	5.461487466484984	561	0	pair2
T1K03	1	7	0	323.5187706270627	5.610998039021352	pair1
T1K03	2	35.10407296351824	3.2407329450936917	561	0	pair2
T1K04	1	7	0	322.27818144073075	6.5737988786675174	pair1
T1K04	2	247.64868744872845	9.550605775544447	1401	0	pair2
T1K05	1	7	0	322.7633099463475	6.316678437273952	pair1
T1K05	2	218.98	4.716758131530054	561	0	pair2
T1K06	1	7	0	324.38505553685627	2.9953301737555216	pair1
T1K06	2	257	0	561	0	pair2
T1K07	1	7	0	321.3555464002472	7.028128295126022	pair1
T1K07	2	31.320832794517006	3.767647110423326	561	0	pair2
T1K08	1	7	0	322.30779583807845	5.9881667235981215	pair1
T1K08	2	159.448606271777	4.753211998370881	561	0	pair2
